商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
2块脆皮鸡套餐,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,外卖,0.24717,0.22,7.0,g,0.22
2块脆皮鸡套餐,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,外卖,0.213465,0.19,7.0,pc,0.19
2块脆皮鸡套餐,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
2块脆皮鸡套餐,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,外卖,0.7190400000000001,0.64,7.0,pc,0.64
2块脆皮鸡套餐,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
2块脆皮鸡套餐,combo,薯条细款7mm,FR02001,150.0,g,0.05617500000000001,8.426250000000001,外卖,0.05617500000000001,0.05,7.0,g,0.05
2块脆皮鸡套餐,combo,J起酥油,DR02001,35.0,g,0.04954635,1.7341222500000002,外卖,0.04954635,0.04,7.0,g,0.0441
2块脆皮鸡套餐,combo,盐,DR06002,1.0,g,0.011235,0.011235,外卖,0.011235,0.01,7.0,g,0.01
2块脆皮鸡套餐,combo,外卖筒形薯盒,PA99005,1.0,pc,0.775215,0.775215,外卖,0.775215,0.69,7.0,pc,0.69
2块脆皮鸡套餐,combo,番茄酱（小包）,SA01013,3.0,pc,0.42693,1.2807899999999999,外卖,0.42693,0.38,7.0,pc,0.38
2块脆皮鸡套餐,combo,辣椒酱（小包）,SA01010,3.0,pc,0.47187,1.41561,外卖,0.47187,0.42,7.0,pc,0.42
2块脆皮鸡套餐,combo,中薯盒,PA99006,1.0,pc,0.6179250000000002,0.6179250000000002,外卖,0.6179250000000002,0.55,7.0,pc,0.55
2块脆皮鸡套餐,combo,番茄酱（大包）,SA01009,20.0,g,0.02595285,0.519057,外卖,0.02595285,0.02,7.0,g,0.0231
